N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL
139,KODEX 코스닥150 레버리지,"7,480",70,-0.93%,0,"11,938","159,600",4.45,"20,189,855",N/A,N/A,https://finance.naver.com/item/main.nhn?code=233740
140,현대미포조선,"29,650",600,-1.98%,"5,000","11,843","39,942",11.46,"130,315",22.24,2.31,https://finance.naver.com/item/main.nhn?code=010620
141,HDC현대산업개발,"17,950",650,-3.49%,"5,000","11,830","65,907",19.04,"482,861",2.18,20.30,https://finance.naver.com/item/main.nhn?code=294870
142,HMM,"3,720",40,+1.09%,"5,000","11,776","316,552",10.07,"4,414,794",-2.00,-55.46,https://finance.naver.com/item/main.nhn?code=011200
143,DB하이텍,"26,200",50,-0.19%,"5,000","11,632","44,399",33.44,"723,963",11.14,17.40,https://finance.naver.com/item/main.nhn?code=000990
144,LS,"35,450",0,0.00%,"5,000","11,415","32,200",12.43,"42,827",45.04,0.80,https://finance.naver.com/item/main.nhn?code=006260
145,LS ELECTRIC,"37,950","1,050",-2.69%,"5,000","11,385","30,000",18.57,"59,050",10.96,7.82,https://finance.naver.com/item/main.nhn?code=010120
146,지누스,"80,000","3,900",+5.12%,500,"11,365","14,207",12.42,"128,039",14.12,26.32,https://finance.naver.com/item/main.nhn?code=013890
147,이노션,"56,800","1,300",-2.24%,500,"11,360","20,000",30.76,"16,193",15.43,9.88,https://finance.naver.com/item/main.nhn?code=214320
148,대웅,"19,250","2,300",+13.57%,500,"11,192","58,142",8.85,"11,390,484",17.92,10.43,https://finance.naver.com/item/main.nhn?code=003090
149,태영건설,"14,500",150,-1.02%,500,"11,078","76,400",8.34,"147,765",12.59,8.38,https://finance.naver.com/item/main.nhn?code=009410
150,영원무역,"24,700",400,+1.65%,500,"10,945","44,311",24.36,"104,365",6.58,9.82,https://finance.naver.com/item/main.nhn?code=111770
151,만도,"22,900",800,-3.38%,"1,000","10,753","46,957",21.45,"284,854",9.73,7.55,https://finance.naver.com/item/main.nhn?code=204320
152,종근당,"93,000",800,-0.85%,"2,500","10,124","10,886",13.13,"82,232",18.79,11.94,https://finance.naver.com/item/main.nhn?code=185750
