N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
1328,KBSTAR KRX300레버리지,"7,975",60,-0.75%,0,80,"1,000",0.04,779,N/A,N/A,https://finance.naver.com/item/main.nhn?code=307010,307010
1329,동북아12호,"5,020",10,+0.20%,"5,000",80,"1,586",0.00,"2,820",16.73,6.00,https://finance.naver.com/item/main.nhn?code=083370,083370
1330,TIGER 국채선물3년인버스,"49,720",0,0.00%,0,80,160,0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=302170,302170
1331,KOSEF 배당바이백Plus,"11,265",25,+0.22%,0,79,700,0.00,28,N/A,N/A,https://finance.naver.com/item/main.nhn?code=260200,260200
1332,마이티 코스피100,"19,690",180,+0.92%,0,79,400,0.00,102,N/A,N/A,https://finance.naver.com/item/main.nhn?code=159800,159800
1333,KBSTAR 주식혼합,"31,485",0,0.00%,0,79,250,0.00,23,N/A,N/A,https://finance.naver.com/item/main.nhn?code=183710,183710
1334,대신 2X 아연선물 ETN(H),"3,925",10,-0.25%,0,78,"2,000",0.00,"2,399",N/A,N/A,https://finance.naver.com/item/main.nhn?code=510005,510005
1335,KODEX 일본TOPIX100,"12,985",105,-0.80%,0,78,600,0.00,955,N/A,N/A,https://finance.naver.com/item/main.nhn?code=101280,101280
1336,삼성 화장품 테마주 ETN,"3,895",5,+0.13%,0,78,"2,000",0.00,244,N/A,N/A,https://finance.naver.com/item/main.nhn?code=530004,530004
1337,TRUE 코스피 타겟볼20 ETN,"7,780",0,0.00%,0,78,"1,000",0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=570024,570024
1338,KINDEX 스마트모멘텀,"11,110",60,+0.54%,0,78,700,0.00,10,N/A,N/A,https://finance.naver.com/item/main.nhn?code=272220,272220
1339,대한제당우,"11,950",100,+0.84%,"2,500",77,648,0.68,431,7.80,N/A,https://finance.naver.com/item/main.nhn?code=001795,001795
1340,TIGER 골드선물(H),"12,890",220,-1.68%,0,77,600,0.00,"11,111",N/A,N/A,https://finance.naver.com/item/main.nhn?code=319640,319640
1341,TIGER 중장기국채선물인버스,"48,315",0,0.00%,0,77,160,0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=302200,302200
1342,대원전선우,"2,930",150,+5.40%,500,77,"2,621",2.86,"78,644",-244.17,N/A,https://finance.naver.com/item/main.nhn?code=006345,006345
1343,KINDEX 일본Nikkei225(H),"12,800",190,-1.46%,0,77,600,0.00,94,N/A,N/A,https://finance.naver.com/item/main.nhn?code=238720,238720
1344,ARIRANG 주도업종,"6,970",30,-0.43%,0,77,"1,100",0.00,39,N/A,N/A,https://finance.naver.com/item/main.nhn?code=280920,280920
1345,KBSTAR 미국장기국채선물(H),"12,725",70,-0.55%,0,76,600,0.00,489,N/A,N/A,https://finance.naver.com/item/main.nhn?code=267440,267440
1346,한화투자증권우,"1,585",5,+0.32%,"5,000",76,"4,800",1.22,"19,210",3.14,N/A,https://finance.naver.com/item/main.nhn?code=003535,003535
1347,KOSEF 코스닥150선물인버스,"13,110",100,+0.77%,0,76,580,0.00,"4,641",N/A,N/A,https://finance.naver.com/item/main.nhn?code=291620,291620
1348,신한 레버리지 구리 선물 ETN,"7,545",120,-1.57%,0,75,"1,000",0.00,"2,126",N/A,N/A,https://finance.naver.com/item/main.nhn?code=500040,500040
1349,KODEX 보험,"5,030",5,-0.10%,0,75,"1,500",0.00,"4,211",N/A,N/A,https://finance.naver.com/item/main.nhn?code=140700,140700
1350,TIGER 국채선물10년인버스,"47,095",0,0.00%,0,75,160,0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=302180,302180
1351,TIGER 의료기기,"12,530",135,-1.07%,0,75,600,0.00,"4,292",N/A,N/A,https://finance.naver.com/item/main.nhn?code=307510,307510
1352,TIGER 삼성그룹펀더멘털,"7,995",70,-0.87%,0,75,940,0.00,149,N/A,N/A,https://finance.naver.com/item/main.nhn?code=138520,138520
1353,HANARO e커머스,"10,005",10,-0.10%,0,75,750,0.00,"2,234",N/A,N/A,https://finance.naver.com/item/main.nhn?code=322400,322400
1354,KODEX 성장투자,"8,305",15,-0.18%,0,75,900,0.00,4,N/A,N/A,https://finance.naver.com/item/main.nhn?code=247790,247790
1355,KODEX 철강,"5,085",20,+0.39%,0,75,"1,470",0.00,"2,297",N/A,N/A,https://finance.naver.com/item/main.nhn?code=117680,117680
1356,KOSEF KRX100,"4,140",5,+0.12%,0,75,"1,800",0.04,78,N/A,N/A,https://finance.naver.com/item/main.nhn?code=100910,100910
1357,삼성 인버스 2X 은 선물 ETN(H),"7,380",310,+4.38%,0,74,"1,000",0.00,"5,819",N/A,N/A,https://finance.naver.com/item/main.nhn?code=530062,530062
1358,KOSEF 코스닥150선물레버리지,"3,165",45,-1.40%,0,74,"2,330",0.00,"7,657",N/A,N/A,https://finance.naver.com/item/main.nhn?code=291630,291630
1359,KODEX 미국S&P바이오(합성),"26,795",470,+1.79%,0,74,275,0.00,505,N/A,N/A,https://finance.naver.com/item/main.nhn?code=185680,185680
1360,서울식품우,"3,305",25,+0.76%,100,74,"2,224",3.66,"114,596",-550.83,N/A,https://finance.naver.com/item/main.nhn?code=004415,004415
1361,TIGER 차이나항셍25,"16,300",50,-0.31%,0,73,450,0.00,139,N/A,N/A,https://finance.naver.com/item/main.nhn?code=117690,117690
1362,TIGER 구리실물,"5,950",80,-1.33%,0,73,"1,225",0.41,"14,453",N/A,N/A,https://finance.naver.com/item/main.nhn?code=160580,160580
1363,KODEX 미국S&P산업재(합성),"13,635",330,+2.48%,0,73,534,0.00,"1,548",N/A,N/A,https://finance.naver.com/item/main.nhn?code=200030,200030
1364,KINDEX 러시아MSCI(합성),"23,935",365,-1.50%,0,72,300,0.00,"4,686",N/A,N/A,https://finance.naver.com/item/main.nhn?code=265690,265690
1365,KBSTAR KRX300미국달러선물혼합,"10,180",35,-0.34%,0,71,700,0.00,9,N/A,N/A,https://finance.naver.com/item/main.nhn?code=319870,319870
1366,KBSTAR 내수주플러스,"8,480",10,+0.12%,0,71,840,0.00,5,N/A,N/A,https://finance.naver.com/item/main.nhn?code=326230,326230
1367,KINDEX 스마트하이베타,"8,870",45,+0.51%,0,71,800,0.00,10,N/A,N/A,https://finance.naver.com/item/main.nhn?code=322150,322150
1368,KOSEF 코스피100,"19,710",15,+0.08%,0,71,360,0.00,87,N/A,N/A,https://finance.naver.com/item/main.nhn?code=153270,153270
1369,KODEX KRX300선물인버스,"10,130",5,+0.05%,0,71,700,0.05,746,N/A,N/A,https://finance.naver.com/item/main.nhn?code=306960,306960
1370,KINDEX 삼성그룹동일가중,"11,790",15,-0.13%,0,71,600,0.00,14,N/A,N/A,https://finance.naver.com/item/main.nhn?code=131890,131890
1371,SMART 중국본토 중소형 CSI500(합성 H),"3,925",25,-0.63%,0,71,"1,800",0.00,"1,772",N/A,N/A,https://finance.naver.com/item/main.nhn?code=220130,220130
1372,TIGER 200에너지화학레버리지,"5,400",185,-3.31%,0,70,"1,300",0.00,"41,728",N/A,N/A,https://finance.naver.com/item/main.nhn?code=243890,243890
1373,깨끗한나라우,"19,150",100,+0.52%,"1,000",70,366,2.86,"3,802",-59.47,N/A,https://finance.naver.com/item/main.nhn?code=004545,004545
1374,KODEX 200ESG,"8,755",25,-0.28%,0,70,800,0.00,122,N/A,N/A,https://finance.naver.com/item/main.nhn?code=337160,337160
1375,KBSTAR 헬스케어,"10,730",105,-0.97%,0,70,650,0.00,13,N/A,N/A,https://finance.naver.com/item/main.nhn?code=253280,253280
1376,KOSEF 200선물인버스,"8,860",25,-0.28%,0,69,780,0.65,465,N/A,N/A,https://finance.naver.com/item/main.nhn?code=253240,253240
1377,KBSTAR 팔라듐선물(H),"11,475",530,-4.41%,0,69,600,0.00,"148,765",N/A,N/A,https://finance.naver.com/item/main.nhn?code=334690,334690
1378,KBSTAR V&S셀렉트밸류,"9,795",45,+0.46%,0,69,700,0.00,60,N/A,N/A,https://finance.naver.com/item/main.nhn?code=234310,234310
1379,KOSEF 저PBR가중,"9,790",25,+0.26%,0,69,700,0.00,36,N/A,N/A,https://finance.naver.com/item/main.nhn?code=260270,260270
1380,CJ씨푸드1우,"34,150",400,+1.19%,500,68,200,4.29,"8,655",669.61,N/A,https://finance.naver.com/item/main.nhn?code=011155,011155
1381,ARIRANG 국채선물3년,"53,125",0,0.00%,0,68,128,0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=298340,298340
1382,흥국 S&P코리아로우볼,"8,070",130,+1.64%,0,68,840,0.03,1,N/A,N/A,https://finance.naver.com/item/main.nhn?code=215620,215620
1383,KODEX 에너지화학,"8,770",40,-0.45%,0,68,770,0.02,"8,878",N/A,N/A,https://finance.naver.com/item/main.nhn?code=117460,117460
1384,KINDEX 미국다우존스리츠(합성 H),"66,995","1,160",+1.76%,0,67,100,0.00,221,N/A,N/A,https://finance.naver.com/item/main.nhn?code=181480,181480
1385,KINDEX 인버스,"8,370",20,-0.24%,0,67,800,0.00,"12,256",N/A,N/A,https://finance.naver.com/item/main.nhn?code=145670,145670
1386,KINDEX 스마트밸류,"9,540",90,+0.95%,0,67,700,0.00,11,N/A,N/A,https://finance.naver.com/item/main.nhn?code=272230,272230
